Alabama,4903185,381,7.3,42.2,80.4
Alaska,731545,596,9.4,148.7,112.9
Arizona,7278717,311.9,5,50.3,88.1
Arkansas,3017804,447.8,8,77.2,51.6
California,39512223,267.1,4.3,37.5,132.4
Colorado,5758736,246.3,3.8,67.2,63.6
Connecticut,3565287,105,2.9,21.6,54.1
Delaware,973764,304.7,4.9,31.8,81.1
District of Columbia,705749,592.1,23.5,48.9,384.4
Florida,21477737,258.3,5.2,39.4,75.5
Georgia,10617423,232,6.2,27.5,75
Hawaii,1415872,148.2,3.4,54,79.9
Idaho,1787065,167.9,2,45.3,8.7
Illinois,12671821,254,6.6,48,98.4
Indiana,6732219,249.3,5.6,36.8,79.2
Iowa,3155070,200.4,1.9,36.9,27.4
Kansas,2913314,314.2,3.6,48.6,44.4
Kentucky,4467673,128.6,4.9,35.2,48.4
Louisiana,4648794,402.1,11.7,48.9,86.6
Maine,1344212,61.3,1.5,38.4,14
Maryland,6045680,261.3,9,31.6,152.2
Massachusetts,6892503,241,2.2,32,52.4
Michigan,9986857,305.9,5.6,72.4,53.6
Minnesota,5639632,135.1,2.1,43.4,55.8
Mississippi,2976149,184.6,11.2,25.1,57.1
Missouri,6137428,357.4,9.3,47.5,80.8
Montana,1068778,324.9,2.5,58.4,19.2
Nebraska,1934408,192.9,2.3,64.8,40.9
Nevada,3080156,312.3,4.6,70.2,106.7
New Hampshire,1359711,83.7,2.4,43.4,23
New Jersey,8882190,122.2,2.9,17.2,64.5
New Mexico,2096829,650.5,8.6,61.4,111.6
New York,19453561,229,2.9,33.8,92.9
North Carolina,10488084,262.4,6,31,72.5
North Dakota,762062,200.6,3.1,57.3,23.5
Ohio,11689100,163.9,4.6,49,75.7
Oklahoma,3956971,307.9,6.7,57.3,59.9
Oregon,4217737,185.5,2.8,42.2,54
Pennsylvania,12801989,191.1,5.2,34,76.1
Rhode Island,1059361,132.9,2.4,46.3,39.5
South Carolina,5148714,390.5,9,47.8,64
South Dakota,884659,302.5,1.9,72.6,22
Tennessee,6829174,456.7,7.3,41.2,90.1
Texas,28995881,263,4.9,51.1,100
Utah,3205958,141.4,2.2,56.8,35.1
Vermont,623989,144.6,1.8,44.6,11.4
Virginia,8535519,128.7,5,33,41.3
Washington,7614893,179.9,2.6,43.8,67.6
West Virginia,1792147,249.1,4.4,42.1,21.1
Wisconsin,5822434,200,3,38.8,51.4
Wyoming,578759,147.6,2.2,56,11.6
